Enable,Part,Label,Frame,Index,AnimationLayer,DriverAttribute,DriverType,DriverMax,Color,TranslateMultiply,RotateMultiply,ScaleMultiply
1,Eyebrow_R,ShiwaA,454,19,,ShiwaA,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,ShiwaB,456,20,,ShiwaB,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex01,500,21,,Ex01,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex02,502,22,,Ex02,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex03,504,23,,Ex03,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex04,506,24,,Ex04,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex05,508,25,,Ex05,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex06,510,26,,Ex06,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex07,512,27,,Ex07,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex08,514,28,,Ex08,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex09,516,29,,Ex09,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex10,518,30,,Ex10,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex11,520,31,,Ex11,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex12,522,32,,Ex12,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex13,524,33,,Ex13,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex14,526,34,,Ex14,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Ex15,528,35,,Ex15,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_R,Offset_Up,1000,36,Br_Offset_U,Offset_Up,float,2,_0.9_0.3_0.3,,,
1,Eyebrow_R,Offset_Down,1000,37,Br_Offset_D,Offset_Down,float,2,_0.9_0.3_0.3,,,
1,Eyebrow_R,Offset_Left,1000,38,Br_Offset_L,Offset_Left,float,2,_0.9_0.3_0.3,,,
1,Eyebrow_R,Offset_Right,1000,39,Br_Offset_R,Offset_Right,float,2,_0.9_0.3_0.3,,,
1,Eye_L,Base,0,40,,,float,2,,,,
1,Eye_L,HalfA,4,41,,HalfA,float,2,_0.6_0.5_0.5,,,
1,Eye_L,CloseA,6,42,,CloseA,float,2,_0.6_0.5_0.5,,,
1,Eye_L,HalfB,8,43,,HalfB,float,2,_0.6_0.5_0.5,,,
1,Eye_L,HalfC,10,44,,HalfC,float,2,_0.7_0.5_0.5,,,
1,Eye_L,WaraiA,32,45,,WaraiA,float,2,_1.0_0.7_0.5,,,
1,Eye_L,WaraiB,34,46,,WaraiB,float,2,_1.0_0.7_0.5,,,
1,Eye_L,WaraiC,36,47,,WaraiC,float,2,_1.0_0.7_0.5,,,
1,Eye_L,WaraiD,38,48,,WaraiD,float,2,_1.0_0.7_0.5,,,
1,Eye_L,IkariA,70,49,,IkariA,float,2,_0.9_0.5_0.5,,,
1,Eye_L,KanasiA,100,50,,KanasiA,float,2,_0.5_0.6_0.9,,,
1,Eye_L,DereA,160,51,,DereA,float,2,_0.9_0.5_0.2,,,
1,Eye_L,OdorokiA,190,52,,OdorokiA,float,2,_0.9_0.8_0.5,,,
1,Eye_L,OdorokiB,192,53,,OdorokiB,float,2,_0.9_0.8_0.5,,,
1,Eye_L,OdorokiC,194,54,,OdorokiC,float,2,_0.9_0.8_0.5,,,
1,Eye_L,JitoA,220,55,,JitoA,float,2,_0.5_0.5_0.9,,,
1,Eye_L,KusyoA,280,56,,KusyoA,float,2,_0.3_0.8_0.3,,,
1,Eye_L,UreiA,310,57,,UreiA,float,2,_0.2_0.8_0.9,,,
1,Eye_L,RunA,382,58,,RunA,float,2,_0.6_0.7_0.6,,,
1,Eye_L,DrivenA,400,59,,DrivenA,float,2,,,,
1,Eye_L,EyeLeft,424,60,,EyeLeft,float,2,,,,
1,Eye_L,EyeRight,426,61,,EyeRight,float,2,,,,
1,Eye_L,EyeUp,428,62,,EyeUp,float,2,,,,
1,Eye_L,EyeDown,430,63,,EyeDown,float,2,,,,
1,Eye_L,EyeHide,440,64,,EyeHideA,int,1,,,,
1,Eye_L,SeriousA,452,65,,SeriousA,float,2,_0.7_0.6_0.6,,,
1,Eye_L,Ex01,530,66,,Ex01,float,2,,,,
1,Eye_L,Ex02,532,67,,Ex02,float,2,,,,
1,Eye_L,Ex03,534,68,,Ex03,float,2,,,,
1,Eye_L,Ex04,536,69,,Ex04,float,2,,,,
1,Eye_L,Ex05,538,70,,Ex05,float,2,,,,
1,Eye_L,Ex06,540,71,,Ex06,float,2,,,,
1,Eye_L,Ex07,542,72,,Ex07,float,2,,,,
1,Eye_L,Ex08,544,73,,Ex08,float,2,,,,
1,Eye_L,Ex09,546,74,,Ex09,float,2,,,,
1,Eye_L,Ex10,548,75,,Ex10,float,2,,,,
1,Eye_L,Ex11,550,76,,Ex11,float,2,,,,
1,Eye_L,Ex12,552,77,,Ex12,float,2,,,,
1,Eye_L,Ex13,554,78,,Ex13,float,2,,,,
1,Eye_L,Ex14,556,79,,Ex14,float,2,,,,
1,Eye_L,Ex15,558,80,,Ex15,float,2,,,,
1,Eye_R,Base,0,40,,,float,2,,,,
1,Eye_R,HalfA,4,41,,HalfA,float,2,_0.6_0.5_0.5,,,
1,Eye_R,CloseA,6,42,,CloseA,float,2,_0.6_0.5_0.5,,,
1,Eye_R,HalfB,8,43,,HalfB,float,2,_0.6_0.5_0.5,,,
1,Eye_R,HalfC,10,44,,HalfC,float,2,_0.7_0.5_0.5,,,
1,Eye_R,WaraiA,32,45,,WaraiA,float,2,_1.0_0.7_0.5,,,
1,Eye_R,WaraiB,34,46,,WaraiB,float,2,_1.0_0.7_0.5,,,
1,Eye_R,WaraiC,36,47,,WaraiC,float,2,_1.0_0.7_0.5,,,
1,Eye_R,WaraiD,38,48,,WaraiD,float,2,_1.0_0.7_0.5,,,
1,Eye_R,IkariA,70,49,,IkariA,float,2,_0.9_0.5_0.5,,,
1,Eye_R,KanasiA,100,50,,KanasiA,float,2,_0.5_0.6_0.9,,,
1,Eye_R,DereA,160,51,,DereA,float,2,_0.9_0.5_0.2,,,
1,Eye_R,OdorokiA,190,52,,OdorokiA,float,2,_0.9_0.8_0.5,,,
1,Eye_R,OdorokiB,192,53,,OdorokiB,float,2,_0.9_0.8_0.5,,,
1,Eye_R,OdorokiC,194,54,,OdorokiC,float,2,_0.9_0.8_0.5,,,
1,Eye_R,JitoA,220,55,,JitoA,float,2,_0.5_0.5_0.9,,,
1,Eye_R,KusyoA,280,56,,KusyoA,float,2,_0.3_0.8_0.3,,,
1,Eye_R,UreiA,310,57,,UreiA,float,2,_0.2_0.8_0.9,,,
1,Eye_R,RunA,382,58,,RunA,float,2,_0.6_0.7_0.6,,,
1,Eye_R,DrivenA,400,59,,DrivenA,float,2,,,,
1,Eye_R,EyeLeft,424,60,,EyeLeft,float,2,,,,
1,Eye_R,EyeRight,426,61,,EyeRight,float,2,,,,
1,Eye_R,EyeUp,428,62,,EyeUp,float,2,,,,
1,Eye_R,EyeDown,430,63,,EyeDown,float,2,,,,
1,Eye_R,EyeHide,440,64,,EyeHideA,int,1,,,,
1,Eye_R,SeriousA,452,65,,SeriousA,float,2,_0.7_0.6_0.6,,,
1,Eye_R,Ex01,530,66,,Ex01,float,2,,,,
1,Eye_R,Ex02,532,67,,Ex02,float,2,,,,
1,Eye_R,Ex03,534,68,,Ex03,float,2,,,,
1,Eye_R,Ex04,536,69,,Ex04,float,2,,,,
1,Eye_R,Ex05,538,70,,Ex05,float,2,,,,
1,Eye_R,Ex06,540,71,,Ex06,float,2,,,,
1,Eye_R,Ex07,542,72,,Ex07,float,2,,,,
1,Eye_R,Ex08,544,73,,Ex08,float,2,,,,
1,Eye_R,Ex09,546,74,,Ex09,float,2,,,,
1,Eye_R,Ex10,548,75,,Ex10,float,2,,,,
1,Eye_R,Ex11,550,76,,Ex11,float,2,,,,
1,Eye_R,Ex12,552,77,,Ex12,float,2,,,,
1,Eye_R,Ex13,554,78,,Ex13,float,2,,,,
1,Eye_R,Ex14,556,79,,Ex14,float,2,,,,
1,Eye_R,Ex15,558,80,,Ex15,float,2,,,,
1,Mouth,Base,0,81,,,float,2,,,,
1,Mouth,Normal,2,82,,Normal,float,2,_0.5_0.6_0.5,,,
1,Mouth,CheekA_Left,20,83,,CheekA_Left,float,2,_1.0_0.5_0.5,,,
1,Mouth,CheekA_Right,22,84,,CheekA_Right,float,2,_1.0_0.5_0.5,,,
1,Mouth,WaraiA,30,85,,WaraiA,float,2,_1.0_0.7_0.5,,,
1,Mouth,WaraiB,32,86,,WaraiB,float,2,_1.0_0.7_0.5,,,
1,Mouth,WaraiC,34,87,,WaraiC,float,2,_1.0_0.7_0.5,,,
1,Mouth,WaraiD,38,88,,WaraiD,float,2,_1.0_0.7_0.5,,,
1,Mouth,WaraiE,40,89,,WaraiE,float,2,_1.0_0.7_0.5,,,
1,Mouth,IkariA,70,90,,IkariA,float,2,_0.9_0.5_0.5,,,
1,Mouth,IkariB,72,91,,IkariB,float,2,_0.9_0.5_0.5,,,
1,Mouth,KanasiA,100,92,,KanasiA,float,2,_0.5_0.6_0.9,,,
1,Mouth,DoyaA,130,93,,DoyaA,float,2,_0.5_0.8_0.5,,,
1,Mouth,DereA,160,94,,DereA,float,2,_0.9_0.5_0.2,,,
1,Mouth,OdorokiA,190,95,,OdorokiA,float,2,_0.9_0.8_0.5,,,
1,Mouth,OdorokiB,192,96,,OdorokiB,float,2,_0.9_0.8_0.5,,,
1,Mouth,JitoA,220,97,,JitoA,float,2,_0.5_0.5_0.9,,,
1,Mouth,KomariA,250,98,,KomariA,float,2,_0.2_0.5_0.9,,,
1,Mouth,KusyoA_Left,280,99,,KusyoA_Left,float,2,_0.3_0.8_0.3,,,
1,Mouth,KusyoA_Right,282,100,,KusyoA_Right,float,2,_0.3_0.8_0.3,,,
1,Mouth,KusyoB_Left,284,101,,KusyoB_Left,float,2,_0.3_0.8_0.3,,,
1,Mouth,KusyoB_Right,286,102,,KusyoB_Right,float,2,_0.3_0.8_0.3,,,
1,Mouth,UreiA,310,103,,UreiA,float,2,_0.2_0.8_0.9,,,
1,Mouth,TalkA_A_S,340,104,,TalkA_A_S,float,2,_0.65_0.6_0.5,,,
1,Mouth,TalkA_A_L,342,105,,TalkA_A_L,float,2,_0.65_0.6_0.5,,,
1,Mouth,TalkA_I_S,344,106,,TalkA_I_S,float,2,_0.7_0.6_0.5,,,
1,Mouth,TalkA_I_L,346,107,,TalkA_I_L,float,2,_0.7_0.6_0.5,,,
1,Mouth,TalkA_U_S,348,108,,TalkA_U_S,float,2,_0.65_0.6_0.5,,,
1,Mouth,TalkA_U_L,350,109,,TalkA_U_L,float,2,_0.65_0.6_0.5,,,
1,Mouth,TalkA_E_S,352,110,,TalkA_E_S,float,2,_0.7_0.6_0.5,,,
1,Mouth,TalkA_E_L,354,111,,TalkA_E_L,float,2,_0.7_0.6_0.5,,,
1,Mouth,TalkA_O_S,356,112,,TalkA_O_S,float,2,_0.65_0.6_0.5,,,
1,Mouth,TalkA_O_L,358,113,,TalkA_O_L,float,2,_0.65_0.6_0.5,,,
1,Mouth,TalkB_A_S,360,114,,TalkB_A_S,float,2,_0.7_0.6_0.5,,,
1,Mouth,TalkB_A_L,362,115,,TalkB_A_L,float,2,_0.7_0.6_0.5,,,
1,Mouth,TalkB_I_S,364,116,,TalkB_I_S,float,2,_0.65_0.6_0.5,,,
1,Mouth,TalkB_I_L,366,117,,TalkB_I_L,float,2,_0.65_0.6_0.5,,,
1,Mouth,TalkB_E_S,372,118,,TalkB_E_S,float,2,_0.7_0.6_0.5,,,
1,Mouth,TalkB_E_L,374,119,,TalkB_E_L,float,2,_0.7_0.6_0.5,,,
1,Mouth,RunA,380,120,,RunA,float,2,_0.6_0.7_0.6,,,
1,Mouth,RunB,382,121,,RunB,float,2,_0.6_0.7_0.6,,,
1,Mouth,DrivenA,400,122,,DrivenA,float,2,,,,
1,Mouth,ToothHide,430,123,,ToothHide,float,2,,,,
1,Mouth,TanA,460,124,,TanA,float,2,_0.7_0.5_0.4,,,
1,Mouth,TanB,462,125,,TanB,float,2,_0.7_0.5_0.4,,,
1,Mouth,TanC_Left,464,126,,TanC_Left,float,2,_0.7_0.5_0.4,,,
1,Mouth,TanC_Right,466,127,,TanC_Right,float,2,_0.7_0.5_0.4,,,
1,Mouth,TanD_Left,468,128,,TanD_Left,float,2,_0.7_0.5_0.4,,,
1,Mouth,TanD_Right,470,129,,TanD_Right,float,2,_0.7_0.5_0.4,,,
1,Mouth,Ex01,458,130,,Ex01,float,2,,,,
1,Mouth,Ex02,560,131,,Ex02,float,2,,,,
1,Mouth,Ex03,562,132,,Ex03,float,2,,,,
1,Mouth,Ex04,564,133,,Ex04,float,2,,,,
1,Mouth,Ex05,566,134,,Ex05,float,2,,,,
1,Mouth,Ex06,568,135,,Ex06,float,2,,,,
1,Mouth,Ex07,570,136,,Ex07,float,2,,,,
1,Mouth,Ex08,572,137,,Ex08,float,2,,,,
1,Mouth,Ex09,574,138,,Ex09,float,2,,,,
1,Mouth,Ex10,576,139,,Ex10,float,2,,,,
1,Mouth,Ex11,578,140,,Ex11,float,2,,,,
1,Mouth,Ex12,580,141,,Ex12,float,2,,,,
1,Mouth,Ex13,582,142,,Ex13,float,2,,,,
1,Mouth,Ex14,584,143,,Ex14,float,2,,,,
1,Mouth,Ex15,586,144,,Ex15,float,2,,,,
1,Mouth,Offset_Up,1000,145,Mo_Offset_U,Offset_Up,float,2,_0.9_0.3_0.3,,,
1,Mouth,Offset_Down,1000,146,Mo_Offset_D,Offset_Down,float,2,_0.9_0.3_0.3,,,
1,Mouth,Offset_Left,1000,147,Mo_Offset_L,Offset_Left,float,2,_0.9_0.3_0.3,,,
1,Mouth,Offset_Right,1000,148,Mo_Offset_R,Offset_Right,float,2,_0.9_0.3_0.3,,,
1,Mouth,Scale_Up,1000,149,Mo_Scale_U,Scale_Up,float,2,_0.9_0.3_0.3,,,
1,Mouth,Scale_Down,1000,150,Mo_Scale_D,Scale_Down,float,2,_0.9_0.3_0.3,,,
1,Mouth,LowAngle,1000,151,Mo_LowAngle,LowAngle,float,2,_0.9_0.3_0.3,,,
